Time, Speed (KMPH), Speed (MPH), Acceleration, Longitude, Latitude, SatelliteNum, Accuracy, Heading, Altitude,rpm,,,,,,,,,,,,,,,,
-0.1,0,0,0,4.2421755,50.510720000000006,12,0.68,215.6300048828125,125.8,0,,,,,,,,,,,,,,,,
0,1.274,0.791,0.135,4.2421755,50.510720000000006,12,0.68,215.6300048828125,125.8,49.03646384,,,,,,,,,,,,,,,,
0.1,1.388,0.862,0.032,4.242175166666667,50.51071966666667,12,0.67,216.11000061035156,125.8,53.42434209,,,,,,,,,,,,,,,,
0.19999999999708962,2.039,1.266,0.184,4.242174833333333,50.51071916666667,12,0.67,210.25999450683594,125.8,78.48143625,,,,,,,,,,,,,,,,
0.2999999999956344,2.565,1.593,0.149,4.242174166666667,50.5107185,12,0.63,211.11000061035156,125.8,98.72726041,,,,,,,,,,,,,,,,
0.39999999999417923,2.846,1.768,0.08,4.242173666666667,50.51071766666667,12,0.63,208.0399932861328,125.9,109.5429954,,,,,,,,,,,,,,,,
0.5,3.329,2.068,0.137,4.242172833333333,50.51071700000001,12,0.63,211.3699951171875,125.8,128.1337427,,,,,,,,,,,,,,,,
0.5999999999985448,4.697,2.918,0.387,4.242171666666667,50.51071583333334,12,0.63,212.60000610351562,125.9,180.7882815,,,,,,,,,,,,,,,,
0.6999999999970896,4.977,3.092,0.079,4.2421706666666665,50.51071466666667,12,0.63,212.66000366210938,125.9,191.5655263,,,,,,,,,,,,,,,,
0.7999999999956344,5.38,3.342,0.114,4.242169666666666,50.5107135,12,0.63,211.7899932861328,125.9,207.0770608,,,,,,,,,,,,,,,,
0.8999999999941792,5.821,3.617,0.125,4.2421685,50.51071216666666,12,0.63,211.25999450683594,126,224.0512214,,,,,,,,,,,,,,,,
1,7.248,4.503,0.404,4.242167333333333,50.51071016666666,12,0.63,207.22000122070312,126,278.9766797,,,,,,,,,,,,,,,,
1.0999999999985448,7.969,4.951,0.204,4.242166,50.51070833333333,12,0.63,206.6300048828125,126,306.7280851,,,,,,,,,,,,,,,,
1.1999999999970896,8.358,5.193,0.11,4.2421645,50.51070616666666,12,0.63,205.14999389648438,126,321.7007573,,,,,,,,,,,,,,,,
1.2999999999956344,10.045,6.241,0.478,4.2421635,50.51070333333334,12,0.63,198.5500030517578,126,386.6336572,,,,,,,,,,,,,,,,
1.3999999999941792,9.66,6.002,-0.109,4.242162333333334,50.510701166666664,12,0.63,197.74000549316406,126,371.8149456,,,,,,,,,,,,,,,,
1.5,10.822,6.724,0.329,4.2421615,50.510698166666664,12,0.63,193.7899932861328,126,416.5405116,,,,,,,,,,,,,,,,
1.5999999999985448,11.891,7.388,0.303,4.242160999999999,50.510695000000005,12,0.63,188.38999938964844,126,457.6864926,,,,,,,,,,,,,,,,
1.6999999999970896,12.39,7.698,0.141,4.2421611666666665,50.51069183333334,12,0.63,183.1300048828125,126,476.8930824,,,,,,,,,,,,,,,,
1.7999999999956344,13.088,8.132,0.198,4.2421615,50.510688333333334,12,0.63,179.52000427246094,126,503.7592141,,,,,,,,,,,,,,,,
1.8999999999941792,13.25,8.233,0.046,4.242162666666667,50.51068516666666,12,0.63,173.14999389648438,126,509.9946201,,,,,,,,,,,,,,,,
2,13.439,8.35,0.054,4.242164166666667,50.510681999999996,12,0.63,167.25,126,517.2692603,,,,,,,,,,,,,,,,
2.099999999998545,15.382,9.557,0.55,4.2421663333333335,50.510678000000006,12,0.63,162.9199981689453,125.9,592.0556412,,,,,,,,,,,,,,,,
2.1999999999970896,15.591,9.687,0.059,4.2421685,50.51067433333333,12,0.63,160.8300018310547,125.8,600.1000846,,,,,,,,,,,,,,,,
2.2999999999956344,15.227,9.461,-0.103,4.242171,50.510671,12,0.63,157.72999572753906,125.7,586.0896664,,,,,,,,,,,,,,,,
2.3999999999941792,15.63,9.712,0.114,4.242174166666667,50.51066766666666,12,0.63,153.5399932861328,125.7,601.6012009,,,,,,,,,,,,,,,,
2.5,15.791,9.812,0.046,4.2421774999999995,50.51066433333334,12,0.63,150.05999755859375,125.6,607.7981166,,,,,,,,,,,,,,,,
2.599999999998545,15.794,9.813,0.001,4.242181666666666,50.510661666666664,12,0.63,143.94000244140625,125.7,607.9135871,,,,,,,,,,,,,,,,
2.6999999999970896,16.001,9.942,0.059,4.242185666666667,50.5106585,12,0.63,141.83999633789062,125.7,615.8810502,,,,,,,,,,,,,,,,
2.7999999999956344,14.115,8.77,-0.534,4.242189499999999,50.5106565,12,0.63,138.58999633789062,125.6,543.2886085,,,,,,,,,,,,,,,,
2.8999999999941792,14.8,9.196,0.194,4.242193666666666,50.51065383333333,12,0.63,136.49000549316406,125.4,569.6543681,,,,,,,,,,,,,,,,
3,15.449,9.599,0.184,4.242198,50.51065116666667,12,0.63,134.30999755859375,125.4,594.6344819,,,,,,,,,,,,,,,,
3.099999999998545,16.859,10.475,0.399,4.2422035000000005,50.510648499999995,12,0.63,131.75999450683594,125.4,648.9056075,,,,,,,,,,,,,,,,
3.1999999999970896,18.287,11.363,0.404,4.242209666666667,50.510645999999994,12,0.63,127.47000122070312,125.3,703.869556,,,,,,,,,,,,,,,,
3.2999999999956344,18.613,11.565,0.092,4.242215833333334,50.510643333333334,12,0.63,126.02999877929688,125.3,716.4173482,,,,,,,,,,,,,,,,
3.3999999999941792,19.383,12.044,0.218,4.242223166666666,50.51064183333333,12,0.63,120.20999908447266,125.2,746.0547714,,,,,,,,,,,,,,,,
